#    L    TT             EE             BB             TE             PP             TP             EP          
    71   0.188616E+04   0.340312E+00   0.000000E+00  -0.615700E+01   0.120856E-06   0.539992E-03  -0.112947E-05
    72   0.191055E+04   0.353712E+00   0.000000E+00  -0.661602E+01   0.120180E-06   0.531806E-03  -0.110242E-05
    73   0.193529E+04   0.367330E+00   0.000000E+00  -0.708798E+01   0.119502E-06   0.523916E-03  -0.104124E-05
    74   0.196038E+04   0.381153E+00   0.000000E+00  -0.757278E+01   0.118824E-06   0.516290E-03  -0.959078E-06
    75   0.198583E+04   0.395171E+00   0.000000E+00  -0.806999E+01   0.118144E-06   0.508893E-03  -0.869061E-06
    76   0.201158E+04   0.409369E+00   0.000000E+00  -0.857906E+01   0.117463E-06   0.501693E-03  -0.783029E-06
    77   0.203753E+04   0.423736E+00   0.000000E+00  -0.909854E+01   0.116782E-06   0.494665E-03  -0.707666E-06
    78   0.206364E+04   0.438261E+00   0.000000E+00  -0.962798E+01   0.116100E-06   0.487785E-03  -0.648368E-06
    79   0.208996E+04   0.452931E+00   0.000000E+00  -0.101672E+02   0.115418E-06   0.481029E-03  -0.610527E-06
    80   0.211652E+04   0.467736E+00   0.000000E+00  -0.107162E+02   0.114737E-06   0.474374E-03  -0.599530E-06
    81   0.214333E+04   0.482664E+00   0.000000E+00  -0.112748E+02   0.114057E-06   0.467801E-03  -0.618587E-06
    82   0.217041E+04   0.497705E+00   0.000000E+00  -0.118425E+02   0.113377E-06   0.461318E-03  -0.662221E-06
    83   0.219774E+04   0.512847E+00   0.000000E+00  -0.124190E+02   0.112700E-06   0.454937E-03  -0.722791E-06
    84   0.222532E+04   0.528081E+00   0.000000E+00  -0.130039E+02   0.112024E-06   0.448674E-03  -0.792662E-06
    85   0.225313E+04   0.543394E+00   0.000000E+00  -0.135969E+02   0.111350E-06   0.442540E-03  -0.864206E-06
    86   0.228118E+04   0.558778E+00   0.000000E+00  -0.141974E+02   0.110678E-06   0.436546E-03  -0.930976E-06
    87   0.230943E+04   0.574218E+00   0.000000E+00  -0.148050E+02   0.110009E-06   0.430693E-03  -0.991221E-06
    88   0.233787E+04   0.589702E+00   0.000000E+00  -0.154191E+02   0.109342E-06   0.424980E-03  -0.104437E-05
    89   0.236650E+04   0.605216E+00   0.000000E+00  -0.160392E+02   0.108678E-06   0.419403E-03  -0.108984E-05
    90   0.239533E+04   0.620745E+00   0.000000E+00  -0.166652E+02   0.108016E-06   0.413962E-03  -0.112705E-05
    91   0.242437E+04   0.636274E+00   0.000000E+00  -0.172964E+02   0.107358E-06   0.408653E-03  -0.115566E-05
    92   0.245361E+04   0.651788E+00   0.000000E+00  -0.179328E+02   0.106702E-06   0.403473E-03  -0.117611E-05
    93   0.248307E+04   0.667273E+00   0.000000E+00  -0.185736E+02   0.106050E-06   0.398418E-03  -0.118908E-05
    94   0.251275E+04   0.682716E+00   0.000000E+00  -0.192189E+02   0.105401E-06   0.393483E-03  -0.119526E-05
    95   0.254266E+04   0.698102E+00   0.000000E+00  -0.198679E+02   0.104755E-06   0.388663E-03  -0.119530E-05
    96   0.257279E+04   0.713417E+00   0.000000E+00  -0.205203E+02   0.104112E-06   0.383954E-03  -0.118989E-05
    97   0.260315E+04   0.728647E+00   0.000000E+00  -0.211757E+02   0.103472E-06   0.379352E-03  -0.117970E-05
    98   0.263374E+04   0.743775E+00   0.000000E+00  -0.218336E+02   0.102836E-06   0.374853E-03  -0.116539E-05
    99   0.266453E+04   0.758789E+00   0.000000E+00  -0.224935E+02   0.102203E-06   0.370451E-03  -0.114765E-05
   100   0.269556E+04   0.773676E+00   0.000000E+00  -0.231550E+02   0.101573E-06   0.366143E-03  -0.112713E-05
   101   0.272680E+04   0.788422E+00   0.000000E+00  -0.238174E+02   0.100947E-06   0.361925E-03  -0.110452E-05
   102   0.275825E+04   0.803005E+00   0.000000E+00  -0.244804E+02   0.100325E-06   0.357791E-03  -0.108048E-05
   103   0.278991E+04   0.817425E+00   0.000000E+00  -0.251434E+02   0.997058E-07   0.353738E-03  -0.105567E-05
   104   0.282178E+04   0.831652E+00   0.000000E+00  -0.258059E+02   0.990906E-07   0.349761E-03  -0.103078E-05
   105   0.285384E+04   0.845679E+00   0.000000E+00  -0.264674E+02   0.984791E-07   0.345856E-03  -0.100646E-05
   106   0.288609E+04   0.859492E+00   0.000000E+00  -0.271271E+02   0.978714E-07   0.342019E-03  -0.983394E-06
   107   0.291852E+04   0.873083E+00   0.000000E+00  -0.277846E+02   0.972675E-07   0.338245E-03  -0.962239E-06
   108   0.295112E+04   0.886430E+00   0.000000E+00  -0.284395E+02   0.966675E-07   0.334531E-03  -0.943667E-06
   109   0.298389E+04   0.899527E+00   0.000000E+00  -0.290909E+02   0.960715E-07   0.330870E-03  -0.928344E-06
   110   0.301683E+04   0.912350E+00   0.000000E+00  -0.297384E+02   0.954796E-07   0.327260E-03  -0.916938E-06
   111   0.304992E+04   0.924893E+00   0.000000E+00  -0.303816E+02   0.948917E-07   0.323697E-03  -0.909947E-06
   112   0.308316E+04   0.937149E+00   0.000000E+00  -0.310197E+02   0.943080E-07   0.320181E-03  -0.907192E-06
   113   0.311655E+04   0.949094E+00   0.000000E+00  -0.316523E+02   0.937283E-07   0.316710E-03  -0.908328E-06
   114   0.315008E+04   0.960713E+00   0.000000E+00  -0.322788E+02   0.931527E-07   0.313287E-03  -0.913007E-06
   115   0.318373E+04   0.972007E+00   0.000000E+00  -0.328985E+02   0.925812E-07   0.309909E-03  -0.920884E-06
   116   0.321751E+04   0.982960E+00   0.000000E+00  -0.335110E+02   0.920138E-07   0.306579E-03  -0.931612E-06
   117   0.325142E+04   0.993550E+00   0.000000E+00  -0.341157E+02   0.914504E-07   0.303297E-03  -0.944846E-06
   118   0.328542E+04   0.100378E+01   0.000000E+00  -0.347119E+02   0.908911E-07   0.300061E-03  -0.960239E-06
   119   0.331954E+04   0.101362E+01   0.000000E+00  -0.352992E+02   0.903359E-07   0.296873E-03  -0.977446E-06
   120   0.335374E+04   0.102309E+01   0.000000E+00  -0.358770E+02   0.897848E-07   0.293732E-03  -0.996122E-06
   121   0.338804E+04   0.103215E+01   0.000000E+00  -0.364447E+02   0.892377E-07   0.290639E-03  -0.101592E-05
   122   0.342240E+04   0.104080E+01   0.000000E+00  -0.370018E+02   0.886948E-07   0.287595E-03  -0.103650E-05
   123   0.345684E+04   0.104904E+01   0.000000E+00  -0.375477E+02   0.881558E-07   0.284598E-03  -0.105751E-05
   124   0.349134E+04   0.105684E+01   0.000000E+00  -0.380819E+02   0.876210E-07   0.281650E-03  -0.107861E-05
   125   0.352589E+04   0.106421E+01   0.000000E+00  -0.386038E+02   0.870902E-07   0.278751E-03  -0.109945E-05
   126   0.356049E+04   0.107114E+01   0.000000E+00  -0.391129E+02   0.865635E-07   0.275900E-03  -0.111970E-05
   127   0.359512E+04   0.107762E+01   0.000000E+00  -0.396086E+02   0.860408E-07   0.273098E-03  -0.113900E-05
   128   0.362977E+04   0.108363E+01   0.000000E+00  -0.400906E+02   0.855223E-07   0.270346E-03  -0.115701E-05
   129   0.366445E+04   0.108919E+01   0.000000E+00  -0.405581E+02   0.850078E-07   0.267643E-03  -0.117338E-05
   130   0.369913E+04   0.109426E+01   0.000000E+00  -0.410107E+02   0.844973E-07   0.264989E-03  -0.118778E-05
   131   0.373381E+04   0.109886E+01   0.000000E+00  -0.414478E+02   0.839910E-07   0.262385E-03  -0.119993E-05
   132   0.376848E+04   0.110299E+01   0.000000E+00  -0.418690E+02   0.834887E-07   0.259829E-03  -0.120986E-05
   133   0.380314E+04   0.110662E+01   0.000000E+00  -0.422738E+02   0.829904E-07   0.257320E-03  -0.121767E-05
   134   0.383777E+04   0.110977E+01   0.000000E+00  -0.426617E+02   0.824960E-07   0.254856E-03  -0.122345E-05
   135   0.387237E+04   0.111242E+01   0.000000E+00  -0.430323E+02   0.820057E-07   0.252435E-03  -0.122731E-05
   136   0.390693E+04   0.111459E+01   0.000000E+00  -0.433850E+02   0.815193E-07   0.250057E-03  -0.122934E-05
   137   0.394145E+04   0.111625E+01   0.000000E+00  -0.437194E+02   0.810368E-07   0.247720E-03  -0.122965E-05
   138   0.397591E+04   0.111742E+01   0.000000E+00  -0.440351E+02   0.805581E-07   0.245422E-03  -0.122833E-05
   139   0.401030E+04   0.111810E+01   0.000000E+00  -0.443316E+02   0.800833E-07   0.243161E-03  -0.122548E-05
   140   0.404463E+04   0.111827E+01   0.000000E+00  -0.446086E+02   0.796123E-07   0.240937E-03  -0.122120E-05
   141   0.407888E+04   0.111797E+01   0.000000E+00  -0.448657E+02   0.791451E-07   0.238747E-03  -0.121559E-05
   142   0.411304E+04   0.111716E+01   0.000000E+00  -0.451023E+02   0.786817E-07   0.236590E-03  -0.120875E-05
   143   0.414711E+04   0.111586E+01   0.000000E+00  -0.453182E+02   0.782220E-07   0.234465E-03  -0.120078E-05
   144   0.418107E+04   0.111409E+01   0.000000E+00  -0.455129E+02   0.777660E-07   0.232371E-03  -0.119177E-05
   145   0.421492E+04   0.111182E+01   0.000000E+00  -0.456860E+02   0.773137E-07   0.230305E-03  -0.118183E-05
   146   0.424864E+04   0.110907E+01   0.000000E+00  -0.458372E+02   0.768651E-07   0.228266E-03  -0.117105E-05
   147   0.428221E+04   0.110586E+01   0.000000E+00  -0.459659E+02   0.764201E-07   0.226253E-03  -0.115954E-05
   148   0.431562E+04   0.110218E+01   0.000000E+00  -0.460719E+02   0.759787E-07   0.224264E-03  -0.114738E-05
   149   0.434885E+04   0.109804E+01   0.000000E+00  -0.461547E+02   0.755408E-07   0.222297E-03  -0.113469E-05
   150   0.438191E+04   0.109345E+01   0.000000E+00  -0.462139E+02   0.751066E-07   0.220352E-03  -0.112155E-05
   151   0.441475E+04   0.108842E+01   0.000000E+00  -0.462492E+02   0.746758E-07   0.218427E-03  -0.110806E-05
   152   0.444739E+04   0.108295E+01   0.000000E+00  -0.462602E+02   0.742485E-07   0.216522E-03  -0.109425E-05
   153   0.447981E+04   0.107705E+01   0.000000E+00  -0.462468E+02   0.738247E-07   0.214635E-03  -0.108013E-05
   154   0.451201E+04   0.107075E+01   0.000000E+00  -0.462087E+02   0.734044E-07   0.212769E-03  -0.106575E-05
   155   0.454399E+04   0.106404E+01   0.000000E+00  -0.461456E+02   0.729875E-07   0.210921E-03  -0.105110E-05
   156   0.457576E+04   0.105694E+01   0.000000E+00  -0.460572E+02   0.725740E-07   0.209093E-03  -0.103622E-05
   157   0.460728E+04   0.104946E+01   0.000000E+00  -0.459434E+02   0.721639E-07   0.207284E-03  -0.102114E-05
   158   0.463856E+04   0.104163E+01   0.000000E+00  -0.458038E+02   0.717572E-07   0.205494E-03  -0.100586E-05
   159   0.466960E+04   0.103343E+01   0.000000E+00  -0.456383E+02   0.713537E-07   0.203722E-03  -0.990417E-06
   160   0.470038E+04   0.102491E+01   0.000000E+00  -0.454467E+02   0.709536E-07   0.201969E-03  -0.974829E-06
   161   0.473088E+04   0.101606E+01   0.000000E+00  -0.452287E+02   0.705568E-07   0.200235E-03  -0.959118E-06
   162   0.476109E+04   0.100691E+01   0.000000E+00  -0.449842E+02   0.701633E-07   0.198519E-03  -0.943306E-06
   163   0.479100E+04   0.997488E+00   0.000000E+00  -0.447128E+02   0.697730E-07   0.196822E-03  -0.927416E-06
   164   0.482060E+04   0.987790E+00   0.000000E+00  -0.444146E+02   0.693859E-07   0.195143E-03  -0.911468E-06
   165   0.484987E+04   0.977839E+00   0.000000E+00  -0.440891E+02   0.690020E-07   0.193482E-03  -0.895486E-06
   166   0.487881E+04   0.967658E+00   0.000000E+00  -0.437365E+02   0.686213E-07   0.191839E-03  -0.879491E-06
   167   0.490741E+04   0.957269E+00   0.000000E+00  -0.433564E+02   0.682438E-07   0.190214E-03  -0.863506E-06
   168   0.493566E+04   0.946695E+00   0.000000E+00  -0.429490E+02   0.678694E-07   0.188607E-03  -0.847551E-06
   169   0.496355E+04   0.935957E+00   0.000000E+00  -0.425140E+02   0.674981E-07   0.187018E-03  -0.831650E-06
   170   0.499108E+04   0.925071E+00   0.000000E+00  -0.420516E+02   0.671299E-07   0.185446E-03  -0.815823E-06
   171   0.501822E+04   0.914066E+00   0.000000E+00  -0.415614E+02   0.667647E-07   0.183892E-03  -0.800094E-06
   172   0.504499E+04   0.902964E+00   0.000000E+00  -0.410436E+02   0.664026E-07   0.182356E-03  -0.784484E-06
   173   0.507136E+04   0.891787E+00   0.000000E+00  -0.404981E+02   0.660435E-07   0.180836E-03  -0.769014E-06
   174   0.509732E+04   0.880558E+00   0.000000E+00  -0.399248E+02   0.656874E-07   0.179334E-03  -0.753708E-06
   175   0.512288E+04   0.869314E+00   0.000000E+00  -0.393239E+02   0.653344E-07   0.177849E-03  -0.738587E-06
   176   0.514802E+04   0.858070E+00   0.000000E+00  -0.386954E+02   0.649842E-07   0.176381E-03  -0.723667E-06
   177   0.517273E+04   0.846862E+00   0.000000E+00  -0.380391E+02   0.646370E-07   0.174929E-03  -0.708942E-06
   178   0.519700E+04   0.835713E+00   0.000000E+00  -0.373553E+02   0.642927E-07   0.173494E-03  -0.694401E-06
   179   0.522082E+04   0.824646E+00   0.000000E+00  -0.366438E+02   0.639512E-07   0.172075E-03  -0.680032E-06
   180   0.524420E+04   0.813697E+00   0.000000E+00  -0.359050E+02   0.636126E-07   0.170671E-03  -0.665824E-06
   181   0.526711E+04   0.802896E+00   0.000000E+00  -0.351388E+02   0.632768E-07   0.169283E-03  -0.651765E-06
   182   0.528955E+04   0.792274E+00   0.000000E+00  -0.343454E+02   0.629438E-07   0.167909E-03  -0.637844E-06
   183   0.531153E+04   0.781852E+00   0.000000E+00  -0.335249E+02   0.626136E-07   0.166550E-03  -0.624049E-06
   184   0.533302E+04   0.771667E+00   0.000000E+00  -0.326776E+02   0.622860E-07   0.165206E-03  -0.610369E-06
   185   0.535403E+04   0.761756E+00   0.000000E+00  -0.318034E+02   0.619612E-07   0.163875E-03  -0.596791E-06
   186   0.537453E+04   0.752143E+00   0.000000E+00  -0.309026E+02   0.616391E-07   0.162558E-03  -0.583306E-06
   187   0.539454E+04   0.742857E+00   0.000000E+00  -0.299754E+02   0.613196E-07   0.161254E-03  -0.569900E-06
   188   0.541404E+04   0.733939E+00   0.000000E+00  -0.290220E+02   0.610027E-07   0.159963E-03  -0.556563E-06
   189   0.543302E+04   0.725419E+00   0.000000E+00  -0.280426E+02   0.606884E-07   0.158684E-03  -0.543283E-06
   190   0.545148E+04   0.717333E+00   0.000000E+00  -0.270375E+02   0.603767E-07   0.157418E-03  -0.530049E-06
   191   0.546941E+04   0.709711E+00   0.000000E+00  -0.260070E+02   0.600676E-07   0.156164E-03  -0.516849E-06
   192   0.548680E+04   0.702589E+00   0.000000E+00  -0.249511E+02   0.597609E-07   0.154921E-03  -0.503671E-06
   193   0.550364E+04   0.696000E+00   0.000000E+00  -0.238702E+02   0.594567E-07   0.153689E-03  -0.490505E-06
   194   0.551994E+04   0.689981E+00   0.000000E+00  -0.227648E+02   0.591549E-07   0.152468E-03  -0.477338E-06
   195   0.553568E+04   0.684566E+00   0.000000E+00  -0.216349E+02   0.588556E-07   0.151257E-03  -0.464159E-06
   196   0.555086E+04   0.679791E+00   0.000000E+00  -0.204812E+02   0.585587E-07   0.150057E-03  -0.450957E-06
   197   0.556549E+04   0.675694E+00   0.000000E+00  -0.193038E+02   0.582641E-07   0.148866E-03  -0.437720E-06
   198   0.557957E+04   0.672310E+00   0.000000E+00  -0.181032E+02   0.579719E-07   0.147685E-03  -0.424436E-06
   199   0.559307E+04   0.669675E+00   0.000000E+00  -0.168796E+02   0.576820E-07   0.146513E-03  -0.411095E-06
   200   0.560600E+04   0.667825E+00   0.000000E+00  -0.156337E+02   0.573944E-07   0.145350E-03  -0.397685E-06
   201   0.561836E+04   0.666796E+00   0.000000E+00  -0.143655E+02   0.571091E-07   0.144196E-03  -0.384196E-06
   202   0.563014E+04   0.666626E+00   0.000000E+00  -0.130757E+02   0.568260E-07   0.143049E-03  -0.370629E-06
   203   0.564131E+04   0.667352E+00   0.000000E+00  -0.117646E+02   0.565451E-07   0.141911E-03  -0.356988E-06
   204   0.565188E+04   0.669008E+00   0.000000E+00  -0.104326E+02   0.562664E-07   0.140782E-03  -0.343276E-06
   205   0.566182E+04   0.671634E+00   0.000000E+00  -0.908023E+01   0.559899E-07   0.139660E-03  -0.329495E-06
   206   0.567114E+04   0.675264E+00   0.000000E+00  -0.770779E+01   0.557156E-07   0.138547E-03  -0.315649E-06
   207   0.567982E+04   0.679936E+00   0.000000E+00  -0.631569E+01   0.554434E-07   0.137442E-03  -0.301741E-06
   208   0.568786E+04   0.685687E+00   0.000000E+00  -0.490453E+01   0.551733E-07   0.136345E-03  -0.287774E-06
   209   0.569528E+04   0.692552E+00   0.000000E+00  -0.347485E+01   0.549054E-07   0.135256E-03  -0.273751E-06
   210   0.570208E+04   0.700569E+00   0.000000E+00  -0.202719E+01   0.546396E-07   0.134175E-03  -0.259676E-06
   211   0.570825E+04   0.709776E+00   0.000000E+00  -0.562119E+00   0.543758E-07   0.133102E-03  -0.245551E-06
   212   0.571382E+04   0.720207E+00   0.000000E+00   0.919814E+00   0.541141E-07   0.132036E-03  -0.231379E-06
   213   0.571878E+04   0.731900E+00   0.000000E+00   0.241805E+01   0.538544E-07   0.130979E-03  -0.217164E-06
   214   0.572314E+04   0.744893E+00   0.000000E+00   0.393204E+01   0.535967E-07   0.129929E-03  -0.202909E-06
   215   0.572690E+04   0.759214E+00   0.000000E+00   0.546119E+01   0.533410E-07   0.128887E-03  -0.188617E-06
   216   0.573004E+04   0.774909E+00   0.000000E+00   0.700491E+01   0.530873E-07   0.127853E-03  -0.174291E-06
   217   0.573257E+04   0.792009E+00   0.000000E+00   0.856259E+01   0.528356E-07   0.126827E-03  -0.159934E-06
   218   0.573449E+04   0.810542E+00   0.000000E+00   0.101337E+02   0.525858E-07   0.125807E-03  -0.145549E-06
   219   0.573578E+04   0.830554E+00   0.000000E+00   0.117176E+02   0.523380E-07   0.124796E-03  -0.131140E-06
   220   0.573644E+04   0.852073E+00   0.000000E+00   0.133137E+02   0.520920E-07   0.123792E-03  -0.116709E-06
   221   0.573648E+04   0.875130E+00   0.000000E+00   0.149213E+02   0.518480E-07   0.122795E-03  -0.102259E-06
   222   0.573589E+04   0.899769E+00   0.000000E+00   0.165400E+02   0.516058E-07   0.121806E-03  -0.877948E-07
   223   0.573466E+04   0.926013E+00   0.000000E+00   0.181690E+02   0.513655E-07   0.120824E-03  -0.733181E-07
   224   0.573281E+04   0.953899E+00   0.000000E+00   0.198076E+02   0.511269E-07   0.119849E-03  -0.588323E-07
   225   0.573033E+04   0.983448E+00   0.000000E+00   0.214552E+02   0.508903E-07   0.118881E-03  -0.443406E-07
   226   0.572723E+04   0.101471E+01   0.000000E+00   0.231111E+02   0.506554E-07   0.117921E-03  -0.298460E-07
   227   0.572350E+04   0.104770E+01   0.000000E+00   0.247747E+02   0.504222E-07   0.116968E-03  -0.153518E-07
   228   0.571915E+04   0.108246E+01   0.000000E+00   0.264452E+02   0.501909E-07   0.116021E-03  -0.860975E-09
   229   0.571419E+04   0.111901E+01   0.000000E+00   0.281221E+02   0.499613E-07   0.115082E-03   0.136233E-07
   230   0.570860E+04   0.115739E+01   0.000000E+00   0.298046E+02   0.497334E-07   0.114150E-03   0.280979E-07
   231   0.570239E+04   0.119762E+01   0.000000E+00   0.314920E+02   0.495072E-07   0.113225E-03   0.425598E-07
